,ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,DESCRIPTION,INTRO
28,AFG,Afghanistan,EMRO,2022.0,IPV (Inactivated polio vaccine) 2nd dose,Yes
29,AFG,Afghanistan,EMRO,2022.0,Japanese Encephalitis,No
30,AFG,Afghanistan,EMRO,2022.0,Malaria vaccine,No
31,AFG,Afghanistan,EMRO,2022.0,Measles-containing vaccine 2nd dose,Yes
32,AFG,Afghanistan,EMRO,2022.0,Meningococcal meningitis vaccines (all strains),No
33,AFG,Afghanistan,EMRO,2022.0,Mumps vaccine,No
34,AFG,Afghanistan,EMRO,2022.0,PCV (Pneumococcal conjugate vaccine),Yes
35,AFG,Afghanistan,EMRO,2022.0,PPV (Pneumococcal polysaccharide vaccine),No
36,AFG,Afghanistan,EMRO,2022.0,Rotavirus vaccine,Yes
37,AFG,Afghanistan,EMRO,2022.0,Rubella vaccine,No
38,AFG,Afghanistan,EMRO,2022.0,Seasonal Influenza vaccine,No
39,AFG,Afghanistan,EMRO,2022.0,Typhoid,No
40,AFG,Afghanistan,EMRO,2022.0,Varicella vaccine,No
41,AFG,Afghanistan,EMRO,2022.0,YF (Yellow fever) vaccine,No
42,AFG,Afghanistan,EMRO,2021.0,aP (acellular pertussis) vaccine,No
43,AFG,Afghanistan,EMRO,2021.0,Hepatitis A vaccine,No
44,AFG,Afghanistan,EMRO,2021.0,Hepatitis B vaccine,Yes
45,AFG,Afghanistan,EMRO,2021.0,HepB birth dose,Yes
46,AFG,Afghanistan,EMRO,2021.0,Hib (Haemophilus influenzae type B) vaccine,Yes
47,AFG,Afghanistan,EMRO,2021.0,HPV (Human Papilloma Virus) vaccine,No
48,AFG,Afghanistan,EMRO,2021.0,IPV (Inactivated polio vaccine),Yes
49,AFG,Afghanistan,EMRO,2021.0,IPV (Inactivated polio vaccine) 2nd dose,Yes
50,AFG,Afghanistan,EMRO,2021.0,Japanese Encephalitis,No
51,AFG,Afghanistan,EMRO,2021.0,Malaria vaccine,No
52,AFG,Afghanistan,EMRO,2021.0,Measles-containing vaccine 2nd dose,Yes
53,AFG,Afghanistan,EMRO,2021.0,Meningococcal meningitis vaccines (all strains),No
54,AFG,Afghanistan,EMRO,2021.0,Mumps vaccine,No
55,AFG,Afghanistan,EMRO,2021.0,PCV (Pneumococcal conjugate vaccine),Yes
56,AFG,Afghanistan,EMRO,2021.0,PPV (Pneumococcal polysaccharide vaccine),No
57,AFG,Afghanistan,EMRO,2021.0,Rotavirus vaccine,Yes
58,AFG,Afghanistan,EMRO,2021.0,Rubella vaccine,No
59,AFG,Afghanistan,EMRO,2021.0,Seasonal Influenza vaccine,No
60,AFG,Afghanistan,EMRO,2021.0,Typhoid,No
61,AFG,Afghanistan,EMRO,2021.0,Varicella vaccine,No
62,AFG,Afghanistan,EMRO,2021.0,YF (Yellow fever) vaccine,No
63,AFG,Afghanistan,EMRO,2020.0,aP (acellular pertussis) vaccine,No
64,AFG,Afghanistan,EMRO,2020.0,Hepatitis A vaccine,No
65,AFG,Afghanistan,EMRO,2020.0,Hepatitis B vaccine,Yes
66,AFG,Afghanistan,EMRO,2020.0,HepB birth dose,Yes
67,AFG,Afghanistan,EMRO,2020.0,Hib (Haemophilus influenzae type B) vaccine,Yes
68,AFG,Afghanistan,EMRO,2020.0,HPV (Human Papilloma Virus) vaccine,No
69,AFG,Afghanistan,EMRO,2020.0,IPV (Inactivated polio vaccine),Yes
70,AFG,Afghanistan,EMRO,2020.0,IPV (Inactivated polio vaccine) 2nd dose,Yes
71,AFG,Afghanistan,EMRO,2020.0,Japanese Encephalitis,No
72,AFG,Afghanistan,EMRO,2020.0,Malaria vaccine,No
73,AFG,Afghanistan,EMRO,2020.0,Measles-containing vaccine 2nd dose,Yes
74,AFG,Afghanistan,EMRO,2020.0,Meningococcal meningitis vaccines (all strains),No
75,AFG,Afghanistan,EMRO,2020.0,Mumps vaccine,No
76,AFG,Afghanistan,EMRO,2020.0,PCV (Pneumococcal conjugate vaccine),Yes
77,AFG,Afghanistan,EMRO,2020.0,PPV (Pneumococcal polysaccharide vaccine),No
78,AFG,Afghanistan,EMRO,2020.0,Rotavirus vaccine,Yes
79,AFG,Afghanistan,EMRO,2020.0,Rubella vaccine,No
80,AFG,Afghanistan,EMRO,2020.0,Seasonal Influenza vaccine,No
81,AFG,Afghanistan,EMRO,2020.0,Typhoid,No
82,AFG,Afghanistan,EMRO,2020.0,Varicella vaccine,No
83,AFG,Afghanistan,EMRO,2020.0,YF (Yellow fever) vaccine,No
84,AFG,Afghanistan,EMRO,2019.0,aP (acellular pertussis) vaccine,No
85,AFG,Afghanistan,EMRO,2019.0,Hepatitis A vaccine,No
86,AFG,Afghanistan,EMRO,2019.0,Hepatitis B vaccine,Yes
87,AFG,Afghanistan,EMRO,2019.0,HepB birth dose,Yes
88,AFG,Afghanistan,EMRO,2019.0,Hib (Haemophilus influenzae type B) vaccine,Yes
89,AFG,Afghanistan,EMRO,2019.0,HPV (Human Papilloma Virus) vaccine,No
90,AFG,Afghanistan,EMRO,2019.0,IPV (Inactivated polio vaccine),Yes
91,AFG,Afghanistan,EMRO,2019.0,IPV (Inactivated polio vaccine) 2nd dose,No
92,AFG,Afghanistan,EMRO,2019.0,Japanese Encephalitis,No
93,AFG,Afghanistan,EMRO,2019.0,Malaria vaccine,No
94,AFG,Afghanistan,EMRO,2019.0,Measles-containing vaccine 2nd dose,Yes
95,AFG,Afghanistan,EMRO,2019.0,Meningococcal meningitis vaccines (all strains),No
96,AFG,Afghanistan,EMRO,2019.0,Mumps vaccine,No
97,AFG,Afghanistan,EMRO,2019.0,PCV (Pneumococcal conjugate vaccine),Yes
98,AFG,Afghanistan,EMRO,2019.0,PPV (Pneumococcal polysaccharide vaccine),No
99,AFG,Afghanistan,EMRO,2019.0,Rotavirus vaccine,Yes
100,AFG,Afghanistan,EMRO,2019.0,Rubella vaccine,No
101,AFG,Afghanistan,EMRO,2019.0,Seasonal Influenza vaccine,No
102,AFG,Afghanistan,EMRO,2019.0,Typhoid,No
103,AFG,Afghanistan,EMRO,2019.0,Varicella vaccine,No
104,AFG,Afghanistan,EMRO,2019.0,YF (Yellow fever) vaccine,No
105,AFG,Afghanistan,EMRO,2018.0,aP (acellular pertussis) vaccine,No
106,AFG,Afghanistan,EMRO,2018.0,Hepatitis A vaccine,No
107,AFG,Afghanistan,EMRO,2018.0,Hepatitis B vaccine,Yes
108,AFG,Afghanistan,EMRO,2018.0,HepB birth dose,Yes
109,AFG,Afghanistan,EMRO,2018.0,Hib (Haemophilus influenzae type B) vaccine,Yes
110,AFG,Afghanistan,EMRO,2018.0,HPV (Human Papilloma Virus) vaccine,No
111,AFG,Afghanistan,EMRO,2018.0,IPV (Inactivated polio vaccine),Yes
112,AFG,Afghanistan,EMRO,2018.0,IPV (Inactivated polio vaccine) 2nd dose,No
113,AFG,Afghanistan,EMRO,2018.0,Japanese Encephalitis,No
114,AFG,Afghanistan,EMRO,2018.0,Measles-containing vaccine 2nd dose,Yes
115,AFG,Afghanistan,EMRO,2018.0,Meningococcal meningitis vaccines (all strains),No
116,AFG,Afghanistan,EMRO,2018.0,Mumps vaccine,No
117,AFG,Afghanistan,EMRO,2018.0,PCV (Pneumococcal conjugate vaccine),Yes
118,AFG,Afghanistan,EMRO,2018.0,PPV (Pneumococcal polysaccharide vaccine),No
119,AFG,Afghanistan,EMRO,2018.0,Rotavirus vaccine,Yes
120,AFG,Afghanistan,EMRO,2018.0,Rubella vaccine,No
121,AFG,Afghanistan,EMRO,2018.0,Seasonal Influenza vaccine,No
122,AFG,Afghanistan,EMRO,2018.0,Typhoid,No
123,AFG,Afghanistan,EMRO,2018.0,Varicella vaccine,No
124,AFG,Afghanistan,EMRO,2018.0,YF (Yellow fever) vaccine,No
125,AFG,Afghanistan,EMRO,2017.0,aP (acellular pertussis) vaccine,No
126,AFG,Afghanistan,EMRO,2017.0,Hepatitis A vaccine,No
127,AFG,Afghanistan,EMRO,2017.0,Hepatitis B vaccine,Yes
128,AFG,Afghanistan,EMRO,2017.0,HepB birth dose,Yes
129,AFG,Afghanistan,EMRO,2017.0,Hib (Haemophilus influenzae type B) vaccine,Yes
130,AFG,Afghanistan,EMRO,2017.0,HPV (Human Papilloma Virus) vaccine,No
131,AFG,Afghanistan,EMRO,2017.0,IPV (Inactivated polio vaccine),Yes
132,AFG,Afghanistan,EMRO,2017.0,IPV (Inactivated polio vaccine) 2nd dose,No
133,AFG,Afghanistan,EMRO,2017.0,Japanese Encephalitis,No
134,AFG,Afghanistan,EMRO,2017.0,Measles-containing vaccine 2nd dose,Yes
135,AFG,Afghanistan,EMRO,2017.0,Meningococcal meningitis vaccines (all strains),No
136,AFG,Afghanistan,EMRO,2017.0,Mumps vaccine,No
137,AFG,Afghanistan,EMRO,2017.0,PCV (Pneumococcal conjugate vaccine),Yes
138,AFG,Afghanistan,EMRO,2017.0,PPV (Pneumococcal polysaccharide vaccine),No
139,AFG,Afghanistan,EMRO,2017.0,Rotavirus vaccine,No
140,AFG,Afghanistan,EMRO,2017.0,Rubella vaccine,No
141,AFG,Afghanistan,EMRO,2017.0,Seasonal Influenza vaccine,No
142,AFG,Afghanistan,EMRO,2017.0,Typhoid,No
143,AFG,Afghanistan,EMRO,2017.0,Varicella vaccine,No
144,AFG,Afghanistan,EMRO,2017.0,YF (Yellow fever) vaccine,No
145,AFG,Afghanistan,EMRO,2016.0,aP (acellular pertussis) vaccine,No
146,AFG,Afghanistan,EMRO,2016.0,Hepatitis A vaccine,No
147,AFG,Afghanistan,EMRO,2016.0,Hepatitis B vaccine,Yes
148,AFG,Afghanistan,EMRO,2016.0,HepB birth dose,Yes
149,AFG,Afghanistan,EMRO,2016.0,Hib (Haemophilus influenzae type B) vaccine,Yes
150,AFG,Afghanistan,EMRO,2016.0,HPV (Human Papilloma Virus) vaccine,No
151,AFG,Afghanistan,EMRO,2016.0,IPV (Inactivated polio vaccine),Yes
152,AFG,Afghanistan,EMRO,2016.0,IPV (Inactivated polio vaccine) 2nd dose,No
153,AFG,Afghanistan,EMRO,2016.0,Japanese Encephalitis,No
154,AFG,Afghanistan,EMRO,2016.0,Measles-containing vaccine 2nd dose,Yes
155,AFG,Afghanistan,EMRO,2016.0,Meningococcal meningitis vaccines (all strains),No
156,AFG,Afghanistan,EMRO,2016.0,Mumps vaccine,No
157,AFG,Afghanistan,EMRO,2016.0,PCV (Pneumococcal conjugate vaccine),Yes
158,AFG,Afghanistan,EMRO,2016.0,PPV (Pneumococcal polysaccharide vaccine),No
159,AFG,Afghanistan,EMRO,2016.0,Rotavirus vaccine,No
160,AFG,Afghanistan,EMRO,2016.0,Rubella vaccine,No
161,AFG,Afghanistan,EMRO,2016.0,Seasonal Influenza vaccine,No
162,AFG,Afghanistan,EMRO,2016.0,Typhoid,No
163,AFG,Afghanistan,EMRO,2016.0,Varicella vaccine,No
164,AFG,Afghanistan,EMRO,2016.0,YF (Yellow fever) vaccine,No
165,AFG,Afghanistan,EMRO,2015.0,aP (acellular pertussis) vaccine,No
166,AFG,Afghanistan,EMRO,2015.0,Hepatitis A vaccine,No
167,AFG,Afghanistan,EMRO,2015.0,Hepatitis B vaccine,Yes
168,AFG,Afghanistan,EMRO,2015.0,HepB birth dose,Yes
169,AFG,Afghanistan,EMRO,2015.0,Hib (Haemophilus influenzae type B) vaccine,Yes
170,AFG,Afghanistan,EMRO,2015.0,HPV (Human Papilloma Virus) vaccine,No
171,AFG,Afghanistan,EMRO,2015.0,IPV (Inactivated polio vaccine),Yes
172,AFG,Afghanistan,EMRO,2015.0,IPV (Inactivated polio vaccine) 2nd dose,No
173,AFG,Afghanistan,EMRO,2015.0,Japanese Encephalitis,No
174,AFG,Afghanistan,EMRO,2015.0,Measles-containing vaccine 2nd dose,Yes
175,AFG,Afghanistan,EMRO,2015.0,Meningococcal meningitis vaccines (all strains),No
176,AFG,Afghanistan,EMRO,2015.0,Mumps vaccine,No
177,AFG,Afghanistan,EMRO,2015.0,PCV (Pneumococcal conjugate vaccine),Yes
178,AFG,Afghanistan,EMRO,2015.0,PPV (Pneumococcal polysaccharide vaccine),No
179,AFG,Afghanistan,EMRO,2015.0,Rotavirus vaccine,No
180,AFG,Afghanistan,EMRO,2015.0,Rubella vaccine,No
181,AFG,Afghanistan,EMRO,2015.0,Seasonal Influenza vaccine,No
182,AFG,Afghanistan,EMRO,2015.0,Typhoid,No
183,AFG,Afghanistan,EMRO,2015.0,Varicella vaccine,No
184,AFG,Afghanistan,EMRO,2015.0,YF (Yellow fever) vaccine,No
185,AFG,Afghanistan,EMRO,2014.0,aP (acellular pertussis) vaccine,No
186,AFG,Afghanistan,EMRO,2014.0,Hepatitis A vaccine,No
187,AFG,Afghanistan,EMRO,2014.0,Hepatitis B vaccine,Yes
188,AFG,Afghanistan,EMRO,2014.0,HepB birth dose,Yes
189,AFG,Afghanistan,EMRO,2014.0,Hib (Haemophilus influenzae type B) vaccine,Yes
190,AFG,Afghanistan,EMRO,2014.0,HPV (Human Papilloma Virus) vaccine,No
191,AFG,Afghanistan,EMRO,2014.0,IPV (Inactivated polio vaccine),No
192,AFG,Afghanistan,EMRO,2014.0,IPV (Inactivated polio vaccine) 2nd dose,No
193,AFG,Afghanistan,EMRO,2014.0,Japanese Encephalitis,No
194,AFG,Afghanistan,EMRO,2014.0,Measles-containing vaccine 2nd dose,Yes
195,AFG,Afghanistan,EMRO,2014.0,Meningococcal meningitis vaccines (all strains),No
196,AFG,Afghanistan,EMRO,2014.0,Mumps vaccine,No
197,AFG,Afghanistan,EMRO,2014.0,PCV (Pneumococcal conjugate vaccine),Yes
198,AFG,Afghanistan,EMRO,2014.0,PPV (Pneumococcal polysaccharide vaccine),No
199,AFG,Afghanistan,EMRO,2014.0,Rotavirus vaccine,No
200,AFG,Afghanistan,EMRO,2014.0,Rubella vaccine,No
201,AFG,Afghanistan,EMRO,2014.0,Seasonal Influenza vaccine,No
202,AFG,Afghanistan,EMRO,2014.0,Typhoid,No
203,AFG,Afghanistan,EMRO,2014.0,Varicella vaccine,No
204,AFG,Afghanistan,EMRO,2014.0,YF (Yellow fever) vaccine,No
205,AFG,Afghanistan,EMRO,2013.0,aP (acellular pertussis) vaccine,No
206,AFG,Afghanistan,EMRO,2013.0,Hepatitis A vaccine,No
207,AFG,Afghanistan,EMRO,2013.0,Hepatitis B vaccine,Yes
208,AFG,Afghanistan,EMRO,2013.0,HepB birth dose,No
209,AFG,Afghanistan,EMRO,2013.0,Hib (Haemophilus influenzae type B) vaccine,Yes
210,AFG,Afghanistan,EMRO,2013.0,HPV (Human Papilloma Virus) vaccine,No
211,AFG,Afghanistan,EMRO,2013.0,IPV (Inactivated polio vaccine),No
212,AFG,Afghanistan,EMRO,2013.0,IPV (Inactivated polio vaccine) 2nd dose,No
213,AFG,Afghanistan,EMRO,2013.0,Japanese Encephalitis,No
214,AFG,Afghanistan,EMRO,2013.0,Measles-containing vaccine 2nd dose,Yes
215,AFG,Afghanistan,EMRO,2013.0,Meningococcal meningitis vaccines (all strains),No
216,AFG,Afghanistan,EMRO,2013.0,Mumps vaccine,No
217,AFG,Afghanistan,EMRO,2013.0,PCV (Pneumococcal conjugate vaccine),No
218,AFG,Afghanistan,EMRO,2013.0,PPV (Pneumococcal polysaccharide vaccine),No
219,AFG,Afghanistan,EMRO,2013.0,Rotavirus vaccine,No
220,AFG,Afghanistan,EMRO,2013.0,Rubella vaccine,No
221,AFG,Afghanistan,EMRO,2013.0,Seasonal Influenza vaccine,No
222,AFG,Afghanistan,EMRO,2013.0,Typhoid,No
223,AFG,Afghanistan,EMRO,2013.0,Varicella vaccine,No
224,AFG,Afghanistan,EMRO,2013.0,YF (Yellow fever) vaccine,No
225,AFG,Afghanistan,EMRO,2012.0,aP (acellular pertussis) vaccine,No
226,AFG,Afghanistan,EMRO,2012.0,Hepatitis A vaccine,No
227,AFG,Afghanistan,EMRO,2012.0,Hepatitis B vaccine,Yes
228,AFG,Afghanistan,EMRO,2012.0,HepB birth dose,No
229,AFG,Afghanistan,EMRO,2012.0,Hib (Haemophilus influenzae type B) vaccine,Yes
230,AFG,Afghanistan,EMRO,2012.0,HPV (Human Papilloma Virus) vaccine,No
231,AFG,Afghanistan,EMRO,2012.0,IPV (Inactivated polio vaccine),No
232,AFG,Afghanistan,EMRO,2012.0,IPV (Inactivated polio vaccine) 2nd dose,No
233,AFG,Afghanistan,EMRO,2012.0,Japanese Encephalitis,No
234,AFG,Afghanistan,EMRO,2012.0,Measles-containing vaccine 2nd dose,Yes
235,AFG,Afghanistan,EMRO,2012.0,Meningococcal meningitis vaccines (all strains),No
236,AFG,Afghanistan,EMRO,2012.0,Mumps vaccine,No
237,AFG,Afghanistan,EMRO,2012.0,PCV (Pneumococcal conjugate vaccine),No
238,AFG,Afghanistan,EMRO,2012.0,PPV (Pneumococcal polysaccharide vaccine),No
239,AFG,Afghanistan,EMRO,2012.0,Rotavirus vaccine,No
240,AFG,Afghanistan,EMRO,2012.0,Rubella vaccine,No
241,AFG,Afghanistan,EMRO,2012.0,Seasonal Influenza vaccine,No
242,AFG,Afghanistan,EMRO,2012.0,Typhoid,No
243,AFG,Afghanistan,EMRO,2012.0,Varicella vaccine,No
244,AFG,Afghanistan,EMRO,2012.0,YF (Yellow fever) vaccine,No
245,AFG,Afghanistan,EMRO,2011.0,aP (acellular pertussis) vaccine,No
246,AFG,Afghanistan,EMRO,2011.0,Hepatitis A vaccine,No
247,AFG,Afghanistan,EMRO,2011.0,Hepatitis B vaccine,Yes
248,AFG,Afghanistan,EMRO,2011.0,HepB birth dose,No
249,AFG,Afghanistan,EMRO,2011.0,Hib (Haemophilus influenzae type B) vaccine,Yes
250,AFG,Afghanistan,EMRO,2011.0,HPV (Human Papilloma Virus) vaccine,No
251,AFG,Afghanistan,EMRO,2011.0,IPV (Inactivated polio vaccine),No
252,AFG,Afghanistan,EMRO,2011.0,IPV (Inactivated polio vaccine) 2nd dose,No
253,AFG,Afghanistan,EMRO,2011.0,Japanese Encephalitis,No
254,AFG,Afghanistan,EMRO,2011.0,Measles-containing vaccine 2nd dose,Yes
255,AFG,Afghanistan,EMRO,2011.0,Meningococcal meningitis vaccines (all strains),No
256,AFG,Afghanistan,EMRO,2011.0,Mumps vaccine,No
257,AFG,Afghanistan,EMRO,2011.0,PCV (Pneumococcal conjugate vaccine),No
258,AFG,Afghanistan,EMRO,2011.0,PPV (Pneumococcal polysaccharide vaccine),No
259,AFG,Afghanistan,EMRO,2011.0,Rotavirus vaccine,No
260,AFG,Afghanistan,EMRO,2011.0,Rubella vaccine,No
261,AFG,Afghanistan,EMRO,2011.0,Seasonal Influenza vaccine,No
262,AFG,Afghanistan,EMRO,2011.0,Typhoid,No
263,AFG,Afghanistan,EMRO,2011.0,Varicella vaccine,No
264,AFG,Afghanistan,EMRO,2011.0,YF (Yellow fever) vaccine,No
265,AFG,Afghanistan,EMRO,2010.0,aP (acellular pertussis) vaccine,No
266,AFG,Afghanistan,EMRO,2010.0,Hepatitis A vaccine,No
267,AFG,Afghanistan,EMRO,2010.0,Hepatitis B vaccine,Yes
268,AFG,Afghanistan,EMRO,2010.0,HepB birth dose,No
269,AFG,Afghanistan,EMRO,2010.0,Hib (Haemophilus influenzae type B) vaccine,Yes
270,AFG,Afghanistan,EMRO,2010.0,HPV (Human Papilloma Virus) vaccine,No
271,AFG,Afghanistan,EMRO,2010.0,IPV (Inactivated polio vaccine),No
272,AFG,Afghanistan,EMRO,2010.0,IPV (Inactivated polio vaccine) 2nd dose,No
273,AFG,Afghanistan,EMRO,2010.0,Japanese Encephalitis,No
274,AFG,Afghanistan,EMRO,2010.0,Measles-containing vaccine 2nd dose,Yes
275,AFG,Afghanistan,EMRO,2010.0,Meningococcal meningitis vaccines (all strains),No
276,AFG,Afghanistan,EMRO,2010.0,Mumps vaccine,No
277,AFG,Afghanistan,EMRO,2010.0,PCV (Pneumococcal conjugate vaccine),No
278,AFG,Afghanistan,EMRO,2010.0,PPV (Pneumococcal polysaccharide vaccine),No
279,AFG,Afghanistan,EMRO,2010.0,Rotavirus vaccine,No
280,AFG,Afghanistan,EMRO,2010.0,Rubella vaccine,No
281,AFG,Afghanistan,EMRO,2010.0,Seasonal Influenza vaccine,No
282,AFG,Afghanistan,EMRO,2010.0,Typhoid,No
283,AFG,Afghanistan,EMRO,2010.0,Varicella vaccine,No
284,AFG,Afghanistan,EMRO,2010.0,YF (Yellow fever) vaccine,No
285,AFG,Afghanistan,EMRO,2009.0,aP (acellular pertussis) vaccine,No
286,AFG,Afghanistan,EMRO,2009.0,Hepatitis A vaccine,No
287,AFG,Afghanistan,EMRO,2009.0,Hepatitis B vaccine,Yes
288,AFG,Afghanistan,EMRO,2009.0,HepB birth dose,No
289,AFG,Afghanistan,EMRO,2009.0,Hib (Haemophilus influenzae type B) vaccine,Yes
290,AFG,Afghanistan,EMRO,2009.0,HPV (Human Papilloma Virus) vaccine,No
291,AFG,Afghanistan,EMRO,2009.0,IPV (Inactivated polio vaccine),No
292,AFG,Afghanistan,EMRO,2009.0,IPV (Inactivated polio vaccine) 2nd dose,No
293,AFG,Afghanistan,EMRO,2009.0,Japanese Encephalitis,No
294,AFG,Afghanistan,EMRO,2009.0,Measles-containing vaccine 2nd dose,Yes
295,AFG,Afghanistan,EMRO,2009.0,Meningococcal meningitis vaccines (all strains),No
296,AFG,Afghanistan,EMRO,2009.0,Mumps vaccine,No
297,AFG,Afghanistan,EMRO,2009.0,PCV (Pneumococcal conjugate vaccine),No
298,AFG,Afghanistan,EMRO,2009.0,PPV (Pneumococcal polysaccharide vaccine),No
299,AFG,Afghanistan,EMRO,2009.0,Rotavirus vaccine,No
300,AFG,Afghanistan,EMRO,2009.0,Rubella vaccine,No
301,AFG,Afghanistan,EMRO,2009.0,Seasonal Influenza vaccine,No
302,AFG,Afghanistan,EMRO,2009.0,Typhoid,No
303,AFG,Afghanistan,EMRO,2009.0,Varicella vaccine,No
304,AFG,Afghanistan,EMRO,2009.0,YF (Yellow fever) vaccine,No
305,AFG,Afghanistan,EMRO,2008.0,aP (acellular pertussis) vaccine,No
306,AFG,Afghanistan,EMRO,2008.0,Hepatitis A vaccine,No
307,AFG,Afghanistan,EMRO,2008.0,Hepatitis B vaccine,Yes
308,AFG,Afghanistan,EMRO,2008.0,HepB birth dose,No
309,AFG,Afghanistan,EMRO,2008.0,Hib (Haemophilus influenzae type B) vaccine,No
310,AFG,Afghanistan,EMRO,2008.0,HPV (Human Papilloma Virus) vaccine,No
311,AFG,Afghanistan,EMRO,2008.0,IPV (Inactivated polio vaccine),No
312,AFG,Afghanistan,EMRO,2008.0,IPV (Inactivated polio vaccine) 2nd dose,No
313,AFG,Afghanistan,EMRO,2008.0,Japanese Encephalitis,No
314,AFG,Afghanistan,EMRO,2008.0,Measles-containing vaccine 2nd dose,Yes
315,AFG,Afghanistan,EMRO,2008.0,Meningococcal meningitis vaccines (all strains),No
316,AFG,Afghanistan,EMRO,2008.0,Mumps vaccine,No
317,AFG,Afghanistan,EMRO,2008.0,PCV (Pneumococcal conjugate vaccine),No
318,AFG,Afghanistan,EMRO,2008.0,PPV (Pneumococcal polysaccharide vaccine),No
319,AFG,Afghanistan,EMRO,2008.0,Rotavirus vaccine,No
320,AFG,Afghanistan,EMRO,2008.0,Rubella vaccine,No
321,AFG,Afghanistan,EMRO,2008.0,Seasonal Influenza vaccine,No
322,AFG,Afghanistan,EMRO,2008.0,Typhoid,No
323,AFG,Afghanistan,EMRO,2008.0,Varicella vaccine,No
324,AFG,Afghanistan,EMRO,2008.0,YF (Yellow fever) vaccine,No
325,AFG,Afghanistan,EMRO,2007.0,aP (acellular pertussis) vaccine,No
326,AFG,Afghanistan,EMRO,2007.0,Hepatitis A vaccine,No
327,AFG,Afghanistan,EMRO,2007.0,Hepatitis B vaccine,Yes
328,AFG,Afghanistan,EMRO,2007.0,HepB birth dose,No
329,AFG,Afghanistan,EMRO,2007.0,Hib (Haemophilus influenzae type B) vaccine,No
330,AFG,Afghanistan,EMRO,2007.0,HPV (Human Papilloma Virus) vaccine,No
331,AFG,Afghanistan,EMRO,2007.0,IPV (Inactivated polio vaccine),No
332,AFG,Afghanistan,EMRO,2007.0,IPV (Inactivated polio vaccine) 2nd dose,No
333,AFG,Afghanistan,EMRO,2007.0,Japanese Encephalitis,No
334,AFG,Afghanistan,EMRO,2007.0,Measles-containing vaccine 2nd dose,Yes
335,AFG,Afghanistan,EMRO,2007.0,Meningococcal meningitis vaccines (all strains),No
336,AFG,Afghanistan,EMRO,2007.0,Mumps vaccine,No
337,AFG,Afghanistan,EMRO,2007.0,PCV (Pneumococcal conjugate vaccine),No
338,AFG,Afghanistan,EMRO,2007.0,PPV (Pneumococcal polysaccharide vaccine),No
339,AFG,Afghanistan,EMRO,2007.0,Rotavirus vaccine,No
340,AFG,Afghanistan,EMRO,2007.0,Rubella vaccine,No
341,AFG,Afghanistan,EMRO,2007.0,Seasonal Influenza vaccine,No
342,AFG,Afghanistan,EMRO,2007.0,Typhoid,No
343,AFG,Afghanistan,EMRO,2007.0,Varicella vaccine,No
344,AFG,Afghanistan,EMRO,2007.0,YF (Yellow fever) vaccine,No
345,AFG,Afghanistan,EMRO,2006.0,aP (acellular pertussis) vaccine,No
346,AFG,Afghanistan,EMRO,2006.0,Hepatitis A vaccine,No
