,GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
72,COUNTRIES,AFG,Afghanistan,2022.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",1.2
73,COUNTRIES,AFG,Afghanistan,2022.0,MEASLES,Measles,"per 1,000,000 total population",127.3
74,COUNTRIES,AFG,Afghanistan,2022.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
75,COUNTRIES,AFG,Afghanistan,2022.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",8.2
76,COUNTRIES,AFG,Afghanistan,2022.0,RUBELLA,Rubella,"per 1,000,000 total population",4.8
77,COUNTRIES,AFG,Afghanistan,2022.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.2
78,COUNTRIES,AFG,Afghanistan,2022.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
79,COUNTRIES,AFG,Afghanistan,2021.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.4
80,COUNTRIES,AFG,Afghanistan,2021.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",1.5
81,COUNTRIES,AFG,Afghanistan,2021.0,MEASLES,Measles,"per 1,000,000 total population",72.5
82,COUNTRIES,AFG,Afghanistan,2021.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",2.1
83,COUNTRIES,AFG,Afghanistan,2021.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",2.7
84,COUNTRIES,AFG,Afghanistan,2021.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.4
85,COUNTRIES,AFG,Afghanistan,2021.0,RUBELLA,Rubella,"per 1,000,000 total population",1.1
86,COUNTRIES,AFG,Afghanistan,2021.0,TTETANUS,Total tetanus,"per 1,000,000 total population",76.7
87,COUNTRIES,AFG,Afghanistan,2020.0,CRS,Congenital rubella syndrome,"per 10,000 live births",4.5
88,COUNTRIES,AFG,Afghanistan,2020.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",4.1
89,COUNTRIES,AFG,Afghanistan,2020.0,MEASLES,Measles,"per 1,000,000 total population",16.4
90,COUNTRIES,AFG,Afghanistan,2020.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
91,COUNTRIES,AFG,Afghanistan,2020.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",17.8
92,COUNTRIES,AFG,Afghanistan,2020.0,RUBELLA,Rubella,"per 1,000,000 total population",0.6
93,COUNTRIES,AFG,Afghanistan,2020.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.8
94,COUNTRIES,AFG,Afghanistan,2019.0,MEASLES,Measles,"per 1,000,000 total population",9.3
95,COUNTRIES,AFG,Afghanistan,2019.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
96,COUNTRIES,AFG,Afghanistan,2019.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
97,COUNTRIES,AFG,Afghanistan,2019.0,RUBELLA,Rubella,"per 1,000,000 total population",1.6
98,COUNTRIES,AFG,Afghanistan,2018.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
99,COUNTRIES,AFG,Afghanistan,2018.0,MEASLES,Measles,"per 1,000,000 total population",54.8
100,COUNTRIES,AFG,Afghanistan,2018.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
101,COUNTRIES,AFG,Afghanistan,2018.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",13.3
102,COUNTRIES,AFG,Afghanistan,2018.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.3
103,COUNTRIES,AFG,Afghanistan,2018.0,RUBELLA,Rubella,"per 1,000,000 total population",1.0
104,COUNTRIES,AFG,Afghanistan,2018.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.4
105,COUNTRIES,AFG,Afghanistan,2017.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
106,COUNTRIES,AFG,Afghanistan,2017.0,MEASLES,Measles,"per 1,000,000 total population",42.3
107,COUNTRIES,AFG,Afghanistan,2017.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
108,COUNTRIES,AFG,Afghanistan,2017.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.9
109,COUNTRIES,AFG,Afghanistan,2017.0,RUBELLA,Rubella,"per 1,000,000 total population",1.5
110,COUNTRIES,AFG,Afghanistan,2016.0,MEASLES,Measles,"per 1,000,000 total population",18.4
111,COUNTRIES,AFG,Afghanistan,2016.0,MUMPS,Mumps,"per 1,000,000 total population",0.8
112,COUNTRIES,AFG,Afghanistan,2016.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
113,COUNTRIES,AFG,Afghanistan,2016.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
114,COUNTRIES,AFG,Afghanistan,2016.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.8
115,COUNTRIES,AFG,Afghanistan,2016.0,RUBELLA,Rubella,"per 1,000,000 total population",1.2
116,COUNTRIES,AFG,Afghanistan,2016.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.1
117,COUNTRIES,AFG,Afghanistan,2015.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
118,COUNTRIES,AFG,Afghanistan,2015.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
119,COUNTRIES,AFG,Afghanistan,2015.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
120,COUNTRIES,AFG,Afghanistan,2015.0,MEASLES,Measles,"per 1,000,000 total population",34.1
121,COUNTRIES,AFG,Afghanistan,2015.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
122,COUNTRIES,AFG,Afghanistan,2015.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",12.8
123,COUNTRIES,AFG,Afghanistan,2015.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.3
124,COUNTRIES,AFG,Afghanistan,2015.0,RUBELLA,Rubella,"per 1,000,000 total population",1.7
125,COUNTRIES,AFG,Afghanistan,2015.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.2
126,COUNTRIES,AFG,Afghanistan,2015.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
127,COUNTRIES,AFG,Afghanistan,2014.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
128,COUNTRIES,AFG,Afghanistan,2014.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
129,COUNTRIES,AFG,Afghanistan,2014.0,MEASLES,Measles,"per 1,000,000 total population",15.0
130,COUNTRIES,AFG,Afghanistan,2014.0,MUMPS,Mumps,"per 1,000,000 total population",0.0
131,COUNTRIES,AFG,Afghanistan,2014.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
132,COUNTRIES,AFG,Afghanistan,2014.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
133,COUNTRIES,AFG,Afghanistan,2014.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.8
134,COUNTRIES,AFG,Afghanistan,2014.0,RUBELLA,Rubella,"per 1,000,000 total population",1.3
135,COUNTRIES,AFG,Afghanistan,2014.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.2
136,COUNTRIES,AFG,Afghanistan,2013.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
137,COUNTRIES,AFG,Afghanistan,2013.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
138,COUNTRIES,AFG,Afghanistan,2013.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
139,COUNTRIES,AFG,Afghanistan,2013.0,MEASLES,Measles,"per 1,000,000 total population",13.6
140,COUNTRIES,AFG,Afghanistan,2013.0,MUMPS,Mumps,"per 1,000,000 total population",0.0
141,COUNTRIES,AFG,Afghanistan,2013.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
142,COUNTRIES,AFG,Afghanistan,2013.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",11.7
143,COUNTRIES,AFG,Afghanistan,2013.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.1
144,COUNTRIES,AFG,Afghanistan,2013.0,RUBELLA,Rubella,"per 1,000,000 total population",11.6
145,COUNTRIES,AFG,Afghanistan,2013.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.8
146,COUNTRIES,AFG,Afghanistan,2013.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
147,COUNTRIES,AFG,Afghanistan,2012.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
148,COUNTRIES,AFG,Afghanistan,2012.0,MEASLES,Measles,"per 1,000,000 total population",91.2
149,COUNTRIES,AFG,Afghanistan,2012.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
150,COUNTRIES,AFG,Afghanistan,2012.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",49.0
151,COUNTRIES,AFG,Afghanistan,2012.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",3.2
152,COUNTRIES,AFG,Afghanistan,2012.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.2
153,COUNTRIES,AFG,Afghanistan,2011.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
154,COUNTRIES,AFG,Afghanistan,2011.0,MEASLES,Measles,"per 1,000,000 total population",102.7
155,COUNTRIES,AFG,Afghanistan,2011.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
156,COUNTRIES,AFG,Afghanistan,2011.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
157,COUNTRIES,AFG,Afghanistan,2011.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",5.7
158,COUNTRIES,AFG,Afghanistan,2011.0,RUBELLA,Rubella,"per 1,000,000 total population",25.6
159,COUNTRIES,AFG,Afghanistan,2011.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.7
160,COUNTRIES,AFG,Afghanistan,2010.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
161,COUNTRIES,AFG,Afghanistan,2010.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
162,COUNTRIES,AFG,Afghanistan,2010.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
163,COUNTRIES,AFG,Afghanistan,2010.0,MEASLES,Measles,"per 1,000,000 total population",70.3
164,COUNTRIES,AFG,Afghanistan,2010.0,MUMPS,Mumps,"per 1,000,000 total population",0.0
165,COUNTRIES,AFG,Afghanistan,2010.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
166,COUNTRIES,AFG,Afghanistan,2010.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
167,COUNTRIES,AFG,Afghanistan,2010.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.2
168,COUNTRIES,AFG,Afghanistan,2010.0,RUBELLA,Rubella,"per 1,000,000 total population",1.6
169,COUNTRIES,AFG,Afghanistan,2010.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.8
170,COUNTRIES,AFG,Afghanistan,2010.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
171,COUNTRIES,AFG,Afghanistan,2009.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
172,COUNTRIES,AFG,Afghanistan,2009.0,MEASLES,Measles,"per 1,000,000 total population",104.2
173,COUNTRIES,AFG,Afghanistan,2009.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
174,COUNTRIES,AFG,Afghanistan,2009.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.8
175,COUNTRIES,AFG,Afghanistan,2009.0,RUBELLA,Rubella,"per 1,000,000 total population",18.2
176,COUNTRIES,AFG,Afghanistan,2009.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.7
177,COUNTRIES,AFG,Afghanistan,2008.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
178,COUNTRIES,AFG,Afghanistan,2008.0,MEASLES,Measles,"per 1,000,000 total population",60.4
179,COUNTRIES,AFG,Afghanistan,2008.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
180,COUNTRIES,AFG,Afghanistan,2008.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",92.4
181,COUNTRIES,AFG,Afghanistan,2008.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.4
182,COUNTRIES,AFG,Afghanistan,2008.0,RUBELLA,Rubella,"per 1,000,000 total population",15.7
183,COUNTRIES,AFG,Afghanistan,2008.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.2
184,COUNTRIES,AFG,Afghanistan,2007.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",4.0
185,COUNTRIES,AFG,Afghanistan,2007.0,MEASLES,Measles,"per 1,000,000 total population",44.0
186,COUNTRIES,AFG,Afghanistan,2007.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
187,COUNTRIES,AFG,Afghanistan,2007.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",227.9
188,COUNTRIES,AFG,Afghanistan,2007.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.3
189,COUNTRIES,AFG,Afghanistan,2007.0,RUBELLA,Rubella,"per 1,000,000 total population",5.9
190,COUNTRIES,AFG,Afghanistan,2007.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.7
191,COUNTRIES,AFG,Afghanistan,2006.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",2.1
192,COUNTRIES,AFG,Afghanistan,2006.0,MEASLES,Measles,"per 1,000,000 total population",78.3
193,COUNTRIES,AFG,Afghanistan,2006.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
194,COUNTRIES,AFG,Afghanistan,2006.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",98.9
195,COUNTRIES,AFG,Afghanistan,2006.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.4
196,COUNTRIES,AFG,Afghanistan,2006.0,RUBELLA,Rubella,"per 1,000,000 total population",7.7
197,COUNTRIES,AFG,Afghanistan,2006.0,TTETANUS,Total tetanus,"per 1,000,000 total population",1.7
198,COUNTRIES,AFG,Afghanistan,2005.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",7.3
199,COUNTRIES,AFG,Afghanistan,2005.0,MEASLES,Measles,"per 1,000,000 total population",53.1
200,COUNTRIES,AFG,Afghanistan,2005.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
201,COUNTRIES,AFG,Afghanistan,2005.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",89.0
202,COUNTRIES,AFG,Afghanistan,2005.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
203,COUNTRIES,AFG,Afghanistan,2004.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",1.1
204,COUNTRIES,AFG,Afghanistan,2004.0,MEASLES,Measles,"per 1,000,000 total population",19.8
205,COUNTRIES,AFG,Afghanistan,2004.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.1
206,COUNTRIES,AFG,Afghanistan,2004.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",23.7
207,COUNTRIES,AFG,Afghanistan,2004.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.3
208,COUNTRIES,AFG,Afghanistan,2004.0,TTETANUS,Total tetanus,"per 1,000,000 total population",3.4
209,COUNTRIES,AFG,Afghanistan,2003.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",3.5
210,COUNTRIES,AFG,Afghanistan,2003.0,MEASLES,Measles,"per 1,000,000 total population",35.1
211,COUNTRIES,AFG,Afghanistan,2003.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.1
212,COUNTRIES,AFG,Afghanistan,2003.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
213,COUNTRIES,AFG,Afghanistan,2003.0,TTETANUS,Total tetanus,"per 1,000,000 total population",5.3
214,COUNTRIES,AFG,Afghanistan,2002.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",39.9
215,COUNTRIES,AFG,Afghanistan,2002.0,MEASLES,Measles,"per 1,000,000 total population",116.3
216,COUNTRIES,AFG,Afghanistan,2002.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.6
217,COUNTRIES,AFG,Afghanistan,2002.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",67.3
218,COUNTRIES,AFG,Afghanistan,2002.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.9
219,COUNTRIES,AFG,Afghanistan,2002.0,TTETANUS,Total tetanus,"per 1,000,000 total population",45.6
220,COUNTRIES,AFG,Afghanistan,2001.0,MEASLES,Measles,"per 1,000,000 total population",432.0
221,COUNTRIES,AFG,Afghanistan,2001.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.2
222,COUNTRIES,AFG,Afghanistan,2001.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.1
223,COUNTRIES,AFG,Afghanistan,2000.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",4.2
224,COUNTRIES,AFG,Afghanistan,2000.0,MEASLES,Measles,"per 1,000,000 total population",324.5
225,COUNTRIES,AFG,Afghanistan,2000.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.1
226,COUNTRIES,AFG,Afghanistan,2000.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",44.5
227,COUNTRIES,AFG,Afghanistan,2000.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",11.9
228,COUNTRIES,AFG,Afghanistan,1999.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",14.9
229,COUNTRIES,AFG,Afghanistan,1999.0,MEASLES,Measles,"per 1,000,000 total population",181.5
230,COUNTRIES,AFG,Afghanistan,1999.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.1
231,COUNTRIES,AFG,Afghanistan,1999.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",79.5
232,COUNTRIES,AFG,Afghanistan,1999.0,TTETANUS,Total tetanus,"per 1,000,000 total population",11.1
233,COUNTRIES,AFG,Afghanistan,1999.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
234,COUNTRIES,AFG,Afghanistan,1998.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",4.4
235,COUNTRIES,AFG,Afghanistan,1998.0,MEASLES,Measles,"per 1,000,000 total population",115.1
236,COUNTRIES,AFG,Afghanistan,1998.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.3
237,COUNTRIES,AFG,Afghanistan,1998.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",46.8
238,COUNTRIES,AFG,Afghanistan,1998.0,TTETANUS,Total tetanus,"per 1,000,000 total population",20.0
239,COUNTRIES,AFG,Afghanistan,1998.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
240,COUNTRIES,AFG,Afghanistan,1991.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",1.7
241,COUNTRIES,AFG,Afghanistan,1991.0,MEASLES,Measles,"per 1,000,000 total population",64.7
242,COUNTRIES,AFG,Afghanistan,1991.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
243,COUNTRIES,AFG,Afghanistan,1991.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",44.2
244,COUNTRIES,AFG,Afghanistan,1991.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.2
245,COUNTRIES,AFG,Afghanistan,1990.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",30.6
246,COUNTRIES,AFG,Afghanistan,1990.0,MEASLES,Measles,"per 1,000,000 total population",133.6
247,COUNTRIES,AFG,Afghanistan,1990.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
248,COUNTRIES,AFG,Afghanistan,1990.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",34.1
