,GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
13,COUNTRIES,ABW,Aruba,2023.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,945.0,916.0,96.93
14,COUNTRIES,ABW,Aruba,2023.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1044.0,953.0,91.28
15,COUNTRIES,ABW,Aruba,2023.0,PERCV_PW,"Pertussis-containing vaccine, pregnant women",ADMIN,Administrative coverage,945.0,8.0,0.85
16,COUNTRIES,ABW,Aruba,2023.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1044.0,945.0,90.52
17,COUNTRIES,ABW,Aruba,2023.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,945.0,907.0,95.98
18,COUNTRIES,ABW,Aruba,2023.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1044.0,973.0,93.2
19,COUNTRIES,ABW,Aruba,2023.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1044.0,945.0,90.52
20,COUNTRIES,ABW,Aruba,2023.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1219.0,1008.0,82.69
21,COUNTRIES,ABW,Aruba,2023.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1468.0,1219.0,83.04
22,COUNTRIES,ABW,Aruba,2022.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1022.0,892.0,87.28
23,COUNTRIES,ABW,Aruba,2022.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1296.0,1092.0,84.26
24,COUNTRIES,ABW,Aruba,2022.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1434.0,1151.0,80.26
25,COUNTRIES,ABW,Aruba,2022.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1028.0,999.0,97.18
26,COUNTRIES,ABW,Aruba,2022.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1028.0,967.0,94.07
27,COUNTRIES,ABW,Aruba,2022.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1028.0,953.0,92.7
28,COUNTRIES,ABW,Aruba,2022.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1028.0,967.0,94.07
29,COUNTRIES,ABW,Aruba,2022.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,688.0,411.0,59.74
30,COUNTRIES,ABW,Aruba,2022.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1028.0,999.0,97.18
31,COUNTRIES,ABW,Aruba,2022.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1028.0,999.0,97.18
32,COUNTRIES,ABW,Aruba,2022.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1022.0,936.0,91.59
33,COUNTRIES,ABW,Aruba,2022.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1296.0,1076.0,83.02
34,COUNTRIES,ABW,Aruba,2022.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1028.0,991.0,96.4
35,COUNTRIES,ABW,Aruba,2022.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1028.0,982.0,95.53
36,COUNTRIES,ABW,Aruba,2022.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1022.0,905.0,88.55
37,COUNTRIES,ABW,Aruba,2022.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1022.0,892.0,87.28
38,COUNTRIES,ABW,Aruba,2022.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1028.0,967.0,94.07
39,COUNTRIES,ABW,Aruba,2022.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1022.0,936.0,91.59
40,COUNTRIES,ABW,Aruba,2022.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1022.0,892.0,87.28
41,COUNTRIES,ABW,Aruba,2022.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1296.0,1092.0,84.26
42,COUNTRIES,ABW,Aruba,2022.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1434.0,1151.0,80.26
43,COUNTRIES,ABW,Aruba,2021.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1188.0,1008.0,84.85
44,COUNTRIES,ABW,Aruba,2021.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1325.0,1030.0,77.74
45,COUNTRIES,ABW,Aruba,2021.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1417.0,1232.0,86.94
46,COUNTRIES,ABW,Aruba,2021.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,1020.0,97.51
47,COUNTRIES,ABW,Aruba,2021.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1046.0,973.0,93.02
48,COUNTRIES,ABW,Aruba,2021.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1046.0,961.0,91.87
49,COUNTRIES,ABW,Aruba,2021.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1046.0,973.0,93.02
50,COUNTRIES,ABW,Aruba,2021.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,761.0,474.0,62.29
51,COUNTRIES,ABW,Aruba,2021.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,1020.0,97.51
52,COUNTRIES,ABW,Aruba,2021.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1046.0,1009.0,96.46
53,COUNTRIES,ABW,Aruba,2021.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1188.0,1115.0,93.86
54,COUNTRIES,ABW,Aruba,2021.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1325.0,1013.0,76.45
55,COUNTRIES,ABW,Aruba,2021.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,1019.0,97.42
56,COUNTRIES,ABW,Aruba,2021.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1046.0,991.0,94.74
57,COUNTRIES,ABW,Aruba,2021.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1188.0,1074.0,90.4
58,COUNTRIES,ABW,Aruba,2021.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1188.0,1008.0,84.85
59,COUNTRIES,ABW,Aruba,2021.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1046.0,973.0,93.02
60,COUNTRIES,ABW,Aruba,2021.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1188.0,1115.0,93.86
61,COUNTRIES,ABW,Aruba,2021.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1188.0,1008.0,84.85
62,COUNTRIES,ABW,Aruba,2021.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1325.0,1030.0,77.74
63,COUNTRIES,ABW,Aruba,2021.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1417.0,1232.0,86.94
64,COUNTRIES,ABW,Aruba,2019.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1242.0,1140.0,92.0
65,COUNTRIES,ABW,Aruba,2019.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1448.0,1234.0,85.0
66,COUNTRIES,ABW,Aruba,2019.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1590.0,1462.0,92.0
67,COUNTRIES,ABW,Aruba,2019.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1181.0,1165.0,99.0
68,COUNTRIES,ABW,Aruba,2019.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1181.0,1132.0,96.0
69,COUNTRIES,ABW,Aruba,2019.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1181.0,1108.0,94.0
70,COUNTRIES,ABW,Aruba,2019.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1181.0,1132.0,96.0
71,COUNTRIES,ABW,Aruba,2019.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,815.0,517.0,63.0
72,COUNTRIES,ABW,Aruba,2019.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1181.0,1165.0,99.0
73,COUNTRIES,ABW,Aruba,2019.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1242.0,1182.0,95.0
74,COUNTRIES,ABW,Aruba,2019.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1448.0,1224.0,85.0
75,COUNTRIES,ABW,Aruba,2019.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1181.0,1164.0,99.0
76,COUNTRIES,ABW,Aruba,2019.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1181.0,1142.0,97.0
77,COUNTRIES,ABW,Aruba,2019.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1242.0,1136.0,91.0
78,COUNTRIES,ABW,Aruba,2019.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1242.0,1140.0,92.0
79,COUNTRIES,ABW,Aruba,2019.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1181.0,1132.0,96.0
80,COUNTRIES,ABW,Aruba,2019.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1242.0,1182.0,95.0
81,COUNTRIES,ABW,Aruba,2019.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1242.0,1140.0,92.0
82,COUNTRIES,ABW,Aruba,2019.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1448.0,1234.0,85.0
83,COUNTRIES,ABW,Aruba,2019.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1590.0,1462.0,92.0
84,COUNTRIES,ABW,Aruba,2018.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1248.0,1164.0,93.0
85,COUNTRIES,ABW,Aruba,2018.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1430.0,1191.0,83.0
86,COUNTRIES,ABW,Aruba,2018.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1653.0,1527.0,92.0
87,COUNTRIES,ABW,Aruba,2018.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1243.0,1228.0,99.0
88,COUNTRIES,ABW,Aruba,2018.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1243.0,1195.0,96.0
89,COUNTRIES,ABW,Aruba,2018.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1243.0,1162.0,93.0
90,COUNTRIES,ABW,Aruba,2018.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1243.0,1195.0,96.0
91,COUNTRIES,ABW,Aruba,2018.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,801.0,404.0,50.0
92,COUNTRIES,ABW,Aruba,2018.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1243.0,1228.0,99.0
93,COUNTRIES,ABW,Aruba,2018.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1248.0,1206.0,97.0
94,COUNTRIES,ABW,Aruba,2018.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1430.0,1185.0,83.0
95,COUNTRIES,ABW,Aruba,2018.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1243.0,1223.0,98.0
96,COUNTRIES,ABW,Aruba,2018.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1243.0,1201.0,97.0
97,COUNTRIES,ABW,Aruba,2018.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1248.0,1178.0,94.0
98,COUNTRIES,ABW,Aruba,2018.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1248.0,1164.0,93.0
99,COUNTRIES,ABW,Aruba,2018.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1243.0,1195.0,96.0
100,COUNTRIES,ABW,Aruba,2018.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1248.0,1206.0,97.0
101,COUNTRIES,ABW,Aruba,2018.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1248.0,1164.0,93.0
102,COUNTRIES,ABW,Aruba,2018.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1430.0,1191.0,83.0
103,COUNTRIES,ABW,Aruba,2018.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1653.0,1527.0,92.0
104,COUNTRIES,ABW,Aruba,2017.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1271.0,1193.0,94.0
105,COUNTRIES,ABW,Aruba,2017.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1252.0,1245.0,99.0
106,COUNTRIES,ABW,Aruba,2017.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1252.0,1214.0,97.0
107,COUNTRIES,ABW,Aruba,2017.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1252.0,1185.0,95.0
108,COUNTRIES,ABW,Aruba,2017.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1252.0,1214.0,97.0
109,COUNTRIES,ABW,Aruba,2017.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1252.0,1245.0,99.0
110,COUNTRIES,ABW,Aruba,2017.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1271.0,1227.0,97.0
111,COUNTRIES,ABW,Aruba,2017.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1392.0,1243.0,89.0
112,COUNTRIES,ABW,Aruba,2017.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1252.0,1238.0,99.0
113,COUNTRIES,ABW,Aruba,2017.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1252.0,1222.0,98.0
114,COUNTRIES,ABW,Aruba,2017.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1271.0,1179.0,93.0
115,COUNTRIES,ABW,Aruba,2017.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1252.0,1214.0,97.0
116,COUNTRIES,ABW,Aruba,2017.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1271.0,1227.0,97.0
117,COUNTRIES,AFG,Afghanistan,2023.0,BCG,BCG,ADMIN,Administrative coverage,2057002.0,1969540.0,95.75
118,COUNTRIES,AFG,Afghanistan,2023.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1891030.0,96.36
119,COUNTRIES,AFG,Afghanistan,2023.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1962370.0,1692613.0,86.25
120,COUNTRIES,AFG,Afghanistan,2023.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,2057002.0,1135053.0,55.18
121,COUNTRIES,AFG,Afghanistan,2023.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1962370.0,1692613.0,86.25
122,COUNTRIES,AFG,Afghanistan,2023.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1962370.0,1692613.0,86.25
123,COUNTRIES,AFG,Afghanistan,2023.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1995511.0,1695483.0,84.96
124,COUNTRIES,AFG,Afghanistan,2023.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1995511.0,1301294.0,65.21
125,COUNTRIES,AFG,Afghanistan,2023.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1522396.0,77.58
126,COUNTRIES,AFG,Afghanistan,2023.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1962370.0,1179611.0,60.11
127,COUNTRIES,AFG,Afghanistan,2023.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1871282.0,95.36
128,COUNTRIES,AFG,Afghanistan,2023.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1962370.0,1713204.0,87.3
129,COUNTRIES,AFG,Afghanistan,2023.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1962370.0,1665138.0,84.85
130,COUNTRIES,AFG,Afghanistan,2023.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1995511.0,1689957.0,84.69
131,COUNTRIES,AFG,Afghanistan,2023.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,1962370.0,1732973.0,88.31
132,COUNTRIES,AFG,Afghanistan,2023.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,1962370.0,1554328.0,79.21
133,COUNTRIES,AFG,Afghanistan,2023.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,4905925.0,1798327.0,36.66
134,COUNTRIES,AFG,Afghanistan,2023.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1962370.0,251148.0,12.8
135,COUNTRIES,AFG,Afghanistan,2023.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1995511.0,164230.0,8.23
136,COUNTRIES,AFG,Afghanistan,2022.0,BCG,BCG,ADMIN,Administrative coverage,1994935.0,1937473.0,97.12
137,COUNTRIES,AFG,Afghanistan,2022.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1913143.0,1836757.0,96.01
138,COUNTRIES,AFG,Afghanistan,2022.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1913143.0,1606307.0,83.96
139,COUNTRIES,AFG,Afghanistan,2022.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1913143.0,1009209.0,52.75
140,COUNTRIES,AFG,Afghanistan,2022.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1913143.0,1606307.0,83.96
141,COUNTRIES,AFG,Afghanistan,2022.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1913143.0,1606307.0,83.96
142,COUNTRIES,AFG,Afghanistan,2022.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1913143.0,1655573.0,86.54
143,COUNTRIES,AFG,Afghanistan,2022.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1913143.0,1186476.0,62.02
144,COUNTRIES,AFG,Afghanistan,2022.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1913143.0,1518858.0,79.39
145,COUNTRIES,AFG,Afghanistan,2022.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1913143.0,1147813.0,60.0
146,COUNTRIES,AFG,Afghanistan,2022.0,PAB,Protection at birth (PAB) against neonatal tetanus,ADMIN,Administrative coverage,1913143.0,1763646.0,92.19
147,COUNTRIES,AFG,Afghanistan,2022.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1913143.0,1802929.0,94.24
148,COUNTRIES,AFG,Afghanistan,2022.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1913143.0,1634804.0,85.45
149,COUNTRIES,AFG,Afghanistan,2022.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1913143.0,1569519.0,82.04
150,COUNTRIES,AFG,Afghanistan,2022.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1913143.0,1646062.0,86.04
151,COUNTRIES,AFG,Afghanistan,2022.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,1913143.0,1664416.0,87.0
152,COUNTRIES,AFG,Afghanistan,2022.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,1913143.0,1475342.0,77.12
153,COUNTRIES,AFG,Afghanistan,2022.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,1913143.0,1763646.0,92.19
154,COUNTRIES,AFG,Afghanistan,2021.0,BCG,BCG,ADMIN,Administrative coverage,1901247.0,1772732.0,93.24
155,COUNTRIES,AFG,Afghanistan,2021.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1823296.0,1703535.0,93.43
156,COUNTRIES,AFG,Afghanistan,2021.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1823296.0,1481181.0,81.24
157,COUNTRIES,AFG,Afghanistan,2021.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1901247.0,909920.0,47.86
158,COUNTRIES,AFG,Afghanistan,2021.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1823296.0,1481181.0,81.24
159,COUNTRIES,AFG,Afghanistan,2021.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1823296.0,1481181.0,81.24
160,COUNTRIES,AFG,Afghanistan,2021.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1823296.0,1489991.0,81.72
161,COUNTRIES,AFG,Afghanistan,2021.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1823296.0,540214.0,29.63
162,COUNTRIES,AFG,Afghanistan,2021.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1823296.0,1354171.0,74.27
163,COUNTRIES,AFG,Afghanistan,2021.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1823296.0,995655.0,54.61
164,COUNTRIES,AFG,Afghanistan,2021.0,PAB,Protection at birth (PAB) against neonatal tetanus,ADMIN,Administrative coverage,1901247.0,1585840.0,83.41
165,COUNTRIES,AFG,Afghanistan,2021.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1823296.0,1673836.0,91.8
166,COUNTRIES,AFG,Afghanistan,2021.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1823296.0,1495991.0,82.05
167,COUNTRIES,AFG,Afghanistan,2021.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1823296.0,1451710.0,79.62
168,COUNTRIES,AFG,Afghanistan,2021.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1823296.0,1476822.0,81.0
169,COUNTRIES,AFG,Afghanistan,2021.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,1823296.0,1540760.0,84.5
170,COUNTRIES,AFG,Afghanistan,2021.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,1823296.0,1348196.0,73.94
171,COUNTRIES,AFG,Afghanistan,2021.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,1901247.0,1585840.0,83.41
172,COUNTRIES,AFG,Afghanistan,2020.0,BCG,BCG,ADMIN,Administrative coverage,1856688.0,1787576.0,96.28
173,COUNTRIES,AFG,Afghanistan,2020.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1780564.0,1731119.0,97.22
174,COUNTRIES,AFG,Afghanistan,2020.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1780564.0,1518597.0,85.29
