ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+M1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TT,TT (Tetanus toxoid) vaccine,1.0,ADULTS,Adults,NATIONAL,Y15-Y49,15-49 A
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_A,Catch-up adults,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_C,Catch-up children,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y9-15,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y15,15 yrs
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,pregnant women
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+W4,pregnant women
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6-Y1,pregnant women
AIA,Anguilla,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y4,"Children over 4 yrs of age and older with incomplete vaccinations/history of febrile seizers. Adults travelers, Adults with unknown previous vaccination history"
AIA,Anguilla,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ALB,Albania,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13,Female from November 2022
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18,and older persons
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y12,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023.0,MPOX,Mpox (monkeypox) vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"HCW, contacts of a positive case with priority given to the less than 18 years, Pregnant women and persons immunocpmpromised"
AND,Andorra,EURO,2023.0,MPOX,Mpox (monkeypox) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,"HCW, contacts of a positive case with priority given to the less than 18 years, Pregnant women and persons immunocpmpromised"
AND,Andorra,EURO,2023.0,MPOX,Mpox (monkeypox) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"HCW, contacts of a positive case with priority given to the less than 18 years, Pregnant women and persons immunocpmpromised"
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,risk groups
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,risk groups
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M6,risk groups
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M1,travellers
ARE,United Arab Emirates,EMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ARE,United Arab Emirates,EMRO,2023.0,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13,school students
ARE,United Arab Emirates,EMRO,2023.0,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,school students
ARE,United Arab Emirates,EMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18,and older persons
ARE,United Arab Emirates,EMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6.0,B_ADO_W,General/routine,NATIONAL,Y15-Y16,school students
ARE,United Arab Emirates,EMRO,2023.0,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1.0,ADULTS,Adults,NATIONAL,>=Y50,people 50 years old and above
ARE,United Arab Emirates,EMRO,2023.0,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M6,people 50 years old and above
ARG,Argentina,AMRO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,M2,Nacidos pretérmino con peso inferior a 1500 g y menores de 6 meses
ARG,Argentina,AMRO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,M4,Nacidos pretérmino con peso inferior a 1500 g y menores de 6 meses
ARG,Argentina,AMRO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,M6,Nacidos pretérmino con peso inferior a 1500 g y menores de 6 meses
ARG,Argentina,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Indicaciones especiales: HSH, pacientes con desórdenes de la coagulación, enfermedad hepática crónica, trabajo con el VHA en laboratorios, personal gastronómico, personal de jardines maternales que asisten a niños menores de un año de vida."
ARG,Argentina,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M6,"Indicaciones especiales: HSH, pacientes con desórdenes de la coagulación, enfermedad hepática crónica, trabajo con el VHA en laboratorios, personal gastronómico, personal de jardines maternales que asisten a niños menores de un año de vida."
ARG,Argentina,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,Universal
ARG,Argentina,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,Universal
ARG,Argentina,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,Universal
ARG,Argentina,AMRO,2023.0,HIB,Hib (Haemophilus influenzae type B) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Huéspedes especiales
ARG,Argentina,AMRO,2023.0,HIB,Hib (Haemophilus influenzae type B) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M2,Huéspedes especiales
ARG,Argentina,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y11,Esquema de dos dosis (0-6) aplicado a los 11 años en mujeres nacidas a partir del año 2000 y varones nacidos a partir del año 2006.
ARG,Argentina,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,BOTH,HPV administered to females and males,NATIONAL,+M6,Esquema de dos dosis (0-6) aplicado a los 11 años en mujeres nacidas a partir del año 2000 y varones nacidos a partir del año 2006.
ARG,Argentina,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Puérperas. Adultos y niños de poblaciones seleccionadas para actividades intensificadas de vacunación para contención de brote de sarampión.
ARG,Argentina,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,Puérperas. Adultos y niños de poblaciones seleccionadas para actividades intensificadas de vacunación para contención de brote de sarampión.
ARG,Argentina,AMRO,2023.0,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Grupos de riesgo 1er contacto. También como parte del esquema secuencial con la PC13V para grupos de riesgo
ARG,Argentina,AMRO,2023.0,RABIES,Rabies vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Esquema Zagreb (0-0-7-21) para profilaxis postexposición y Profilaxis pre exposicion (0-7) para personal que trabaja con el virus en laboratorio o personas que trabajan con animales potencialmente rabiosos. Para profilaxis post-exposición cuando esté indicado su uso
ARG,Argentina,AMRO,2023.0,RABIES,Rabies vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+D7,Esquema Zagreb (0-0-7-21) para profilaxis postexposición y Profilaxis pre exposicion (0-7) para personal que trabaja con el virus en laboratorio o personas que trabajan con animales potencialmente rabiosos. Para profilaxis post-exposición cuando esté indicado su uso
ARG,Argentina,AMRO,2023.0,RABIES,Rabies vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+D21,Esquema Zagreb (0-0-7-21) para profilaxis postexposición y Profilaxis pre exposicion (0-7) para personal que trabaja con el virus en laboratorio o personas que trabajan con animales potencialmente rabiosos. Para profilaxis post-exposición cuando esté indicado su uso
ARG,Argentina,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,Para quellos adultos que no acrediten esquema completo en la infancia. Si acredita esquema completo se aplica un refuerzo de DT cada 10 años.
ARG,Argentina,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M6-M12,Para quellos adultos que no acrediten esquema completo en la infancia. Si acredita esquema completo se aplica un refuerzo de DT cada 10 años.
ARG,Argentina,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Para quellos adultos que no acrediten esquema completo en la infancia. Si acredita esquema completo se aplica un refuerzo de DT cada 10 años.
ARG,Argentina,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,HW,Health workers,NATIONAL,1st contact,"Embarazadas a partir de la semana 20 (en cada embarazo), convivientes de RN con menos de 1500g y personal de salud que presta cuidado a niños menores de 12 meses (revacunar cada 5 años)."
ARG,Argentina,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",2.0,HW,Health workers,NATIONAL,+Y5,"Embarazadas a partir de la semana 20 (en cada embarazo), convivientes de RN con menos de 1500g y personal de salud que presta cuidado a niños menores de 12 meses (revacunar cada 5 años)."
ARG,Argentina,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,PW,Pregnant women,NATIONAL,1st contact,"Embarazadas a partir de la semana 20 (en cada embarazo), convivientes de RN con menos de 1500g y personal de salud que presta cuidado a niños menores de 12 meses (revacunar cada 5 años)."
ARG,Argentina,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"1. Personal de salud sin antecedentes de infección y con serología negativa 2. Convivientes de inmunocomprometidos 3. Huéspedes en situaciones especiales: - niños con VIH con CD4 ≥ 15% o adolescentes y adultos con CD4 ≥ 200/mm³ - pacientes con deterioro de la inmunidad humoral, sin requerimiento de tratamiento sustitutivo con Inmunoglobulina  EV (ver cuadro 2) - pacientes en plan de recibir trasplante de órgano sólido (por lo menos tres semanas previas al inicio del tratamiento  inmunosupresor) - pacientes con leucemias, linfomas y otras enfermedades malignas con enfermedad en remisión y quienes hubiesen terminado el tratamiento quimioterápico al menos tres meses antes. - síndrome nefrótico"
ARG,Argentina,AMRO,2023.0,VARICELLA,Varicella vaccine,2.0,HW,Health workers,NATIONAL,+M1,"1. Personal de salud sin antecedentes de infección y con serología negativa 2. Convivientes de inmunocomprometidos 3. Huéspedes en situaciones especiales: - niños con VIH con CD4 ≥ 15% o adolescentes y adultos con CD4 ≥ 200/mm³ - pacientes con deterioro de la inmunidad humoral, sin requerimiento de tratamiento sustitutivo con Inmunoglobulina  EV (ver cuadro 2) - pacientes en plan de recibir trasplante de órgano sólido (por lo menos tres semanas previas al inicio del tratamiento  inmunosupresor) - pacientes con leucemias, linfomas y otras enfermedades malignas con enfermedad en remisión y quienes hubiesen terminado el tratamiento quimioterápico al menos tres meses antes. - síndrome nefrótico"
ARG,Argentina,AMRO,2023.0,VARICELLA,Varicella vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"1. Personal de salud sin antecedentes de infección y con serología negativa 2. Convivientes de inmunocomprometidos 3. Huéspedes en situaciones especiales: - niños con VIH con CD4 ≥ 15% o adolescentes y adultos con CD4 ≥ 200/mm³ - pacientes con deterioro de la inmunidad humoral, sin requerimiento de tratamiento sustitutivo con Inmunoglobulina  EV (ver cuadro 2) - pacientes en plan de recibir trasplante de órgano sólido (por lo menos tres semanas previas al inicio del tratamiento  inmunosupresor) - pacientes con leucemias, linfomas y otras enfermedades malignas con enfermedad en remisión y quienes hubiesen terminado el tratamiento quimioterápico al menos tres meses antes. - síndrome nefrótico"
ARG,Argentina,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"1. Personal de salud sin antecedentes de infección y con serología negativa 2. Convivientes de inmunocomprometidos 3. Huéspedes en situaciones especiales: - niños con VIH con CD4 ≥ 15% o adolescentes y adultos con CD4 ≥ 200/mm³ - pacientes con deterioro de la inmunidad humoral, sin requerimiento de tratamiento sustitutivo con Inmunoglobulina  EV (ver cuadro 2) - pacientes en plan de recibir trasplante de órgano sólido (por lo menos tres semanas previas al inicio del tratamiento  inmunosupresor) - pacientes con leucemias, linfomas y otras enfermedades malignas con enfermedad en remisión y quienes hubiesen terminado el tratamiento quimioterápico al menos tres meses antes. - síndrome nefrótico"
ARG,Argentina,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st Contact,Viajeros
ARM,Armenia,EURO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,лица с повышенным риском заболевания по схеме 0-1-6 месяцев
ARM,Armenia,EURO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,лица с повышенным риском заболевания по схеме 0-1-6 месяцев
ARM,Armenia,EURO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M6,лица с повышенным риском заболевания по схеме 0-1-6 месяцев
ARM,Armenia,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y14,только девочкам  в возрасте 14 лет- две дозы (вторая доза через 6 месяцев после первой)
ARM,Armenia,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,только девочкам  в возрасте 14 лет- две дозы (вторая доза через 6 месяцев после первой)
ARM,Armenia,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M2,"15 до 45 лет -девочки и юноши, а также женщины и мужчины- три дозы ( 0,2,6 месяцев- интервал  между первой и третьей дозой 6 месяцев)"
ARM,Armenia,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M6,"15 до 45 лет -девочки и юноши, а также женщины и мужчины- три дозы ( 0,2,6 месяцев- интервал  между первой и третьей дозой 6 месяцев)"
ARM,Armenia,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Y15-Y45,"15 до 45 лет -девочки и юноши, а также женщины и мужчины- три дозы ( 0,2,6 месяцев- интервал  между первой и третьей дозой 6 месяцев)"
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,Y26-Y30,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,Y36-Y40,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,Y46-Y50,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,Y56-Y60,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,Y66-Y70,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,ADULTS,Adults,NATIONAL,Y76-Y80,Женщины и мужчины от 26 лет через каждые 10 лет
ARM,Armenia,EURO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6.0,B_ADO_W,General/routine,NATIONAL,Y15-Y16,"Лицам с 15 лет до 25 лет, с 26 лет получают только АДС-М"
ARM,Armenia,EURO,2023.0,TULAREMIA,Tularemia vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y7,только юноши допризывного возраста 17 лет и лицам с повышенным риском заболевания и по эпидпоказаниям с 7-лет
ATG,Antigua and Barbuda,AMRO,2023.0,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5.0,B_CHILD_W,General/routine,NATIONAL,Y5,5yrs
ATG,Antigua and Barbuda,AMRO,2023.0,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18,M18
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
ATG,Antigua and Barbuda,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M6,"Adults who didn't receive their vaccine as infants, dialysis patients, hospital staff, medical and nursing students"
